moduleID,module_current,time(s)
mem0,4.44444e+06,1.85e-06
mem1,555.556,1.85e-06
cpu0,2.22222e+08,1.86e-06
mem0,4.44444e+06,1.86e-06
mem1,555.556,1.86e-06
cpu0,3.33333e+08,1.87e-06
mem0,4.44444e+06,1.87e-06
mem1,4.445e+06,1.87e-06
cpu0,2.22222e+08,1.88e-06
mem0,4.44444e+06,1.88e-06
mem1,555.556,1.88e-06
cpu0,2.22222e+08,1.89e-06
mem0,4.44444e+06,1.89e-06
mem1,555.556,1.89e-06
cpu0,2.22222e+08,1.9e-06
mem0,4.44444e+06,1.9e-06
mem1,555.556,1.9e-06
cpu0,2.22222e+08,1.91e-06
mem0,4.44444e+06,1.91e-06
mem1,555.556,1.91e-06
cpu0,3.33333e+08,1.92e-06
mem0,6.66667e+06,1.92e-06
mem1,555.556,1.92e-06
cpu0,2.22222e+08,1.93e-06
mem0,4.44444e+06,1.93e-06
mem1,555.556,1.93e-06
cpu0,2.22222e+08,1.94e-06
mem0,4.44444e+06,1.94e-06
mem1,555.556,1.94e-06
cpu0,2.22222e+08,1.95e-06
mem0,4.44444e+06,1.95e-06
mem1,555.556,1.95e-06
cpu0,2.22222e+08,1.96e-06
mem0,4.44444e+06,1.96e-06
mem1,555.556,1.96e-06
cpu0,3.33333e+08,1.97e-06
mem0,6.66667e+06,1.97e-06
mem1,555.556,1.97e-06
cpu0,2.22222e+08,1.98e-06
mem0,4.44444e+06,1.98e-06
mem1,555.556,1.98e-06
cpu0,2.22222e+08,1.99e-06
mem0,4.44444e+06,1.99e-06
mem1,555.556,1.99e-06
cpu0,2.22222e+08,2e-06
mem0,4.44444e+06,2e-06
mem1,555.556,2e-06
cpu0,2.22222e+08,2.01e-06
mem0,4.44444e+06,2.01e-06
mem1,555.556,2.01e-06
cpu0,1.22222e+08,2.02e-06
mem0,4.44444e+06,2.02e-06
mem1,4.445e+06,2.02e-06
cpu0,1.11111e+07,2.03e-06
mem0,4.44444e+06,2.03e-06
mem1,555.556,2.03e-06
cpu0,1.11111e+07,2.04e-06
mem0,4.44444e+06,2.04e-06
mem1,555.556,2.04e-06
cpu0,1.11111e+07,2.05e-06
mem0,4.44444e+06,2.05e-06
mem1,555.556,2.05e-06
cpu0,1.11111e+07,2.06e-06
mem0,4.44444e+06,2.06e-06
mem1,555.556,2.06e-06
cpu0,1.22222e+08,2.07e-06
mem0,4.44444e+06,2.07e-06
mem1,4.445e+06,2.07e-06
cpu0,1.11111e+07,2.08e-06
mem0,4.44444e+06,2.08e-06
mem1,555.556,2.08e-06
cpu0,1.11111e+07,2.09e-06
mem0,4.44444e+06,2.09e-06
mem1,555.556,2.09e-06
cpu0,1.11111e+07,2.1e-06
mem0,4.44444e+06,2.1e-06
mem1,555.556,2.1e-06
cpu0,1.11111e+07,2.11e-06
mem0,4.44444e+06,2.11e-06
mem1,555.556,2.11e-06
cpu0,6.66667e+07,2.12e-06
mem0,4.44444e+06,2.12e-06
mem1,1.66722e+06,2.12e-06
cpu0,1.11111e+07,2.13e-06
mem0,4.44444e+06,2.13e-06
mem1,555.556,2.13e-06
cpu0,1.11111e+07,2.14e-06
mem0,4.44444e+06,2.14e-06
mem1,555.556,2.14e-06
cpu0,1.11111e+07,2.15e-06
mem0,4.44444e+06,2.15e-06
mem1,555.556,2.15e-06
cpu0,1.11111e+07,2.16e-06
mem0,4.44444e+06,2.16e-06
mem1,555.556,2.16e-06
cpu0,1.22222e+08,2.17e-06
mem0,4.44444e+06,2.17e-06
mem1,4.445e+06,2.17e-06
cpu0,1.11111e+07,2.18e-06
mem0,4.44444e+06,2.18e-06
mem1,555.556,2.18e-06
cpu0,1.11111e+07,2.19e-06
mem0,4.44444e+06,2.19e-06
mem1,555.556,2.19e-06
cpu0,1.11111e+07,2.2e-06
mem0,4.44444e+06,2.2e-06
mem1,555.556,2.2e-06
cpu0,1.11111e+07,2.21e-06
mem0,4.44444e+06,2.21e-06
mem1,555.556,2.21e-06
cpu0,1.22222e+08,2.22e-06
mem0,4.44444e+06,2.22e-06
mem1,4.445e+06,2.22e-06
cpu0,1.11111e+07,2.23e-06
mem0,4.44444e+06,2.23e-06
mem1,555.556,2.23e-06
cpu0,1.11111e+07,2.24e-06
mem0,4.44444e+06,2.24e-06
mem1,555.556,2.24e-06
cpu0,1.11111e+07,2.25e-06
